7,SUPER STAR(FROM NONSTOP MEGAMIX),D.J.RICH feat. TAILBROS.,-,-,-,-,10,-,-,-,11
7,Sweet Sweet ♥ Magic,jun,4,5,9,13,-,5,8,11,-
7,TSUGARU,RevenG vs DE-SIRE,3,5,9,12,-,6,9,12,-
7,TSUGARU (APPLE MIX),RevenG vs DE-SIRE,-,-,-,-,11,-,-,-,11
7,WILD RUSH(FROM NONSTOP MEGAMIX),FACTOR-X,-,-,-,-,9,-,-,-,10
8,蒼い衝動 ～for EXTREME～,NAOKI feat. YUKI,2,4,6,9,-,4,6,11,-
8,桜,Reven-G,5,7,11,13,11,7,11,13,11
8,大見解,Des-ROW feat. TSUBOI for ALPHA,4,4,8,12,13,5,8,13,14
8,三毛猫ロック,亜熱帯マジ-SKA爆弾,4,5,8,11,-,5,9,13,-
8,A,D.J.Amuro,4,5,8,11,12,4,7,12,13
8,Across the nightmare,Jimmy Weckl,7,8,10,12,13,8,11,13,13
8,air,DJ SIMON,3,5,7,10,-,5,7,11,-
8,AM-3P -303 BASS MIX-,KTz(remixed by U1),4,4,9,10,-,5,8,10,-
8,bag,RevenG,2,7,11,13,13,7,12,13,13
8,BE LOVIN,D-Crew,4,5,9,12,-,5,10,12,-
8,Colors ～for EXTREME～,dj TAKA,3,5,8,9,13,5,7,10,13
8,CUTIE CHASER(MORNING MIX),CLUB SPICE,3,3,4,9,-,4,6,9,-
8,Dance Dance Revolution,DDR ALL STARS,5,6,8,12,12,6,8,12,11
8,Destiny lovers,くにたけ みゆき,3,4,7,13,-,4,7,12,-
8,DROP THE BOMB(SyS.F. Mix),Scotty D.,3,5,7,10,-,4,5,10,-
8,Frozen Ray ～for EXTREME～,dj TAKA,4,5,9,12,-,4,8,11,-
8,Gamelan de Couple,TOMOSUKE,3,4,7,12,-,5,7,13,-
8,GRADUATION ～それぞれの明日～,BeForU,2,3,7,9,-,3,5,9,-
8,Happy Wedding,ASKA,3,4,6,10,-,5,6,9,-
8,Heaven is a '57 metallic gray ～gimmix～,Hiro feat. Sweet little 30's,4,5,7,12,-,5,7,13,-
8,HYPER EUROBEAT,NAOKI feat. DDR ALL STARS,3,4,6,10,-,6,9,11,-
